Transaction_Date,Scrip_ID,Exchange_ID,Bal_Qty,Purchase_Rate,Transaction_Type,Transaction_Value
05 Dec 2017,HOK,NSE,1,114.69,Buy,114.69
13 Dec 2017,HOK,NSE,35,114.56,Sell,4009.69
13 Dec 2017,HOK,NSE,35,114.42,Buy,4004.58
13 Dec 2017,HOK,NSE,20,115.07,Buy,2301.4
14 Dec 2017,HOK,NSE,5,112.78,Buy,563.91
22 Dec 2017,HOK,NSE,10,118.01,Sell,1180.12
22 Dec 2017,HOK,NSE,10,118,Buy,1179.99
26 Dec 2017,HOK,NSE,10,119.51,Sell,1195.11
26 Dec 2017,HOK,NSE,10,119.2,Buy,1191.99
27 Dec 2017,HOK,NSE,10,119.19,Sell,1191.87
28 Dec 2017,HOK,NSE,10,118.72,Buy,1187.23
29 Dec 2017,HOK,NSE,5,118.67,Sell,593.33
02 Jan 2018,HOK,NSE,15,120.15,Sell,1802.32
03 Jan 2018,HOK,NSE,5,124.42,Sell,622.11
09 Jan 2018,HOK,NSE,1,129.29,Sell,129.29
04 Dec 2017,IAN,NSE,5,1123.64,Sell,5618.18
04 Dec 2017,IAN,NSE,5,1121.41,Buy,5607.03
05 Dec 2017,IAN,NSE,5,1119.64,Sell,5598.19
05 Dec 2017,IAN,NSE,5,1113.9,Buy,5569.48
05 Dec 2017,IAN,NSE,5,1120.26,Buy,5601.32
06 Dec 2017,IAN,NSE,5,1106.62,Sell,5533.11
06 Dec 2017,IAN,NSE,5,1101.4,Buy,5507
07 Dec 2017,IAN,NSE,5,1127.56,Sell,5637.8
18 Dec 2017,IAN,NSE,10,1124.79,Sell,11247.88
18 Dec 2017,IAN,NSE,10,1111.39,Buy,11113.93
05 Feb 2018,IAN,NSE,1,1127.82,Buy,1127.82
07 Feb 2018,IAN,NSE,1,1120.62,Sell,1120.62
07 Feb 2018,IAN,NSE,1,1117.75,Buy,1117.75
07 Feb 2018,IAN,NSE,2,1124.12,Buy,2248.25
21 Apr 2016,LRA,NSE,2,104.92,Buy,209.84
28 Apr 2016,LRA,NSE,5,104.46,Buy,522.32
24 May 2016,LRA,NSE,7,107.3,Buy,751.11
26 Apr 2017,LRA,NSE,13,167.59,Sell,2178.71
14 Jul 2017,LRA,NSE,1,159.94,Sell,159.94
14 Jul 2017,LRA,NSE,1,155.21,Buy,155.21
20 Jul 2017,LRA,NSE,1,157.94,Sell,157.94
20 Jul 2017,LRA,NSE,1,157.21,Buy,157.21
21 Jul 2017,LRA,NSE,1,157.88,Sell,157.88
10 Jan 2018,ELAB,NSE,3,103.32,Buy,309.96
12 Jan 2018,ELAB,NSE,10,102.71,Buy,1027.13
16 Jan 2018,ELAB,NSE,5,99.02,Sell,495.08
16 Jan 2018,ELAB,NSE,5,99.46,Buy,497.31
16 Jan 2018,ELAB,NSE,10,100.03,Buy,1000.27
18 Jan 2018,ELAB,NSE,25,97.48,Buy,2436.91
24 Jan 2018,ELAB,NSE,15,103.86,Sell,1557.97
24 Jan 2018,ELAB,NSE,15,103.73,Buy,1555.97
02 Feb 2018,ELAB,NSE,2,95.46,Buy,190.93
05 Feb 2018,ELAB,NSE,5,91.97,Sell,459.86
05 Feb 2018,ELAB,NSE,5,90.46,Buy,452.31
08 Feb 2018,ELAB,NSE,25,96.51,Sell,2412.72
08 Feb 2018,ELAB,NSE,25,95.12,Buy,2377.99
19 Feb 2018,ELAB,NSE,10,93.15,Buy,931.47
04 May 2016,RED,NSE,1,2962.05,Buy,2962.05
06 May 2016,RED,NSE,1,2876.69,Buy,2876.69
18 Jul 2017,RED,NSE,2,2711.95,Sell,5423.9
11 Dec 2017,DER,NSE,70,108.39,Sell,7587.57
11 Dec 2017,DER,NSE,70,108.39,Buy,7586.98
11 Dec 2017,DER,NSE,5,109.01,Buy,545.03
12 Dec 2017,DER,NSE,30,107.83,Buy,3234.94
13 Dec 2017,DER,NSE,5,106.97,Sell,534.83
13 Dec 2017,DER,NSE,5,105.8,Buy,529
13 Dec 2017,DER,NSE,10,106.4,Buy,1064.05
18 Dec 2017,DER,NSE,25,108.17,Sell,2704.14
18 Dec 2017,DER,NSE,25,102.53,Buy,2563.22
19 Dec 2017,DER,NSE,15,109.26,Sell,1638.94
19 Dec 2017,DER,NSE,15,109.64,Buy,1644.59
20 Dec 2017,DER,NSE,5,108.29,Sell,541.44
22 Dec 2017,DER,NSE,5,108.66,Sell,543.32
22 Dec 2017,DER,NSE,5,107.74,Buy,538.68
29 Dec 2017,DER,NSE,10,109.96,Sell,1099.65
29 Dec 2017,DER,NSE,10,109.14,Buy,1091.37
04 Jan 2018,DER,NSE,25,108.34,Sell,2708.62
04 Jan 2018,DER,NSE,25,107.13,Buy,2678.37
05 Jan 2018,DER,NSE,25,110.23,Sell,2755.65
08 Jan 2018,DER,NSE,7,113.77,Sell,796.39
10 Jan 2018,DER,NSE,5,112.55,Sell,562.77
12 Jan 2018,DER,NSE,2,114.39,Sell,228.79
16 Jan 2018,DER,NSE,30,106.99,Buy,3209.77
17 Jan 2018,DER,NSE,10,105.17,Sell,1051.67
17 Jan 2018,DER,NSE,10,104.13,Buy,1041.3
18 Jan 2018,DER,NSE,10,102.96,Buy,1029.64
02 Feb 2018,DER,NSE,10,95.72,Sell,957.19
02 Feb 2018,DER,NSE,10,95.12,Buy,951.19
05 Feb 2018,DER,NSE,5,92.57,Sell,462.85
05 Feb 2018,DER,NSE,5,90.11,Buy,450.56
06 Feb 2018,DER,NSE,12,93.14,Sell,1117.65
06 Feb 2018,DER,NSE,3,89.22,Buy,267.66
06 Feb 2018,DER,NSE,12,88.71,Buy,1064.52
01 Jun 2016,KEX,NSE,5,102.53,Buy,512.66
16 Aug 2016,KEX,NSE,5,76.55,Buy,382.73
26 Aug 2016,KEX,NSE,5,75.71,Buy,378.55
19 Jul 2017,KEX,NSE,15,97.97,Sell,1469.51
19 Jul 2017,KEX,NSE,15,97.12,Buy,1456.84
24 Jul 2017,KEX,NSE,5,97.47,Sell,487.34
24 Jul 2017,KEX,NSE,5,94.04,Buy,470.2
26 Jul 2017,KEX,NSE,5,95.44,Sell,477.19
